Sample,Group,paper
DRR252648,AG,Scirep
DRR252650,MG,Scirep
DRR252649,MG,Scirep
DRR255419,KO_FLT,natbio
DRR252654,GC,Scirep
DRR255415,WT_FLT,natbio
DRR255421,WT_GC,natbio
DRR252653,GC,Scirep
DRR252646,AG,Scirep
DRR255416,WT_FLT,natbio
DRR255418,KO_FLT,natbio
DRR255423,KO_GC,natbio
DRR255425,KO_GC,natbio
DRR252651,MG,Scirep
DRR252652,GC,Scirep
DRR252647,AG,Scirep
DRR255420,WT_GC,natbio
DRR255422,WT_GC,natbio
DRR255424,KO_GC,natbio
DRR255414,WT_FLT,natbio
DRR255417,KO_GC,natbio
